,Máximo Sharpe,Mínima Varianza,Pesos iguales
AGUAS-A.SN,0.11255867857259592,0.3377928414321517,0.1111111111111111
BCI.SN,0.37067051701511167,0.007850394765105283,0.1111111111111111
BSANTANDER.SN,0.23858936070934675,0.1491267431878558,0.1111111111111111
CAP.SN,5.624722286242181e-17,0.15761851653306444,0.1111111111111111
CENCOSUD.SN,6.227809744687243e-17,0.0903748596539381,0.1111111111111111
CMPC.SN,0.0,0.00037054718346670574,0.1111111111111111
COPEC.SN,0.0,0.0886159376027687,0.1111111111111111
ENELCHILE.SN,0.12310892596309969,0.16825015964164933,0.1111111111111111
FALABELLA.SN,0.15507251773984587,0.0,0.1111111111111111
